Algorithm,Run,Iterations,Path Length
ACO,1,63,7658.0
ACO-2opt,1,45,7542.0
GA,1,798,10007.0
GA-2opt,1,134,7956.0
ACO,2,123,7571.0
ACO-2opt,2,24,7542.0
GA,2,895,9349.0
GA-2opt,2,9,7772.0
ACO,3,116,7663.0
ACO-2opt,3,65,7542.0
GA,3,525,10357.0
GA-2opt,3,9,8349.0
ACO,4,95,7570.0
ACO-2opt,4,26,7542.0
GA,4,850,9663.0
GA-2opt,4,24,8079.0
ACO,5,19,7679.0
ACO-2opt,5,54,7542.0
GA,5,876,9667.0
GA-2opt,5,68,7758.0
ACO,6,49,7548.0
ACO-2opt,6,35,7542.0
GA,6,574,9775.0
GA-2opt,6,101,7973.0
ACO,7,96,7752.0
ACO-2opt,7,37,7542.0
GA,7,986,9200.0
GA-2opt,7,8,8148.0
ACO,8,138,7548.0
ACO-2opt,8,9,7542.0
GA,8,666,11293.0
GA-2opt,8,43,8102.0
ACO,9,122,7543.0
ACO-2opt,9,74,7542.0
GA,9,777,11293.0
GA-2opt,9,6,8051.0
ACO,10,16,7707.0
ACO-2opt,10,86,7542.0
GA,10,661,10921.0
GA-2opt,10,17,7906.0
