Algorithm,Run,Iterations,Path Length
ACO,1,12,719.0
ACO-2opt,1,44,652.0
GA,1,972,1272.0
GA-2opt,1,82,671.0
ACO,2,138,721.0
ACO-2opt,2,76,654.0
GA,2,999,1249.0
GA-2opt,2,15,675.0
ACO,3,45,700.0
ACO-2opt,3,13,655.0
GA,3,977,1116.0
GA-2opt,3,146,670.0
ACO,4,157,711.0
ACO-2opt,4,126,644.0
GA,4,984,1107.0
GA-2opt,4,110,675.0
ACO,5,48,717.0
ACO-2opt,5,30,651.0
GA,5,980,1175.0
GA-2opt,5,22,689.0
ACO,6,152,719.0
ACO-2opt,6,29,659.0
GA,6,994,1218.0
GA-2opt,6,71,670.0
ACO,7,10,718.0
ACO-2opt,7,123,649.0
GA,7,973,1339.0
GA-2opt,7,113,676.0
ACO,8,47,710.0
ACO-2opt,8,68,655.0
GA,8,999,1303.0
GA-2opt,8,17,689.0
ACO,9,54,724.0
ACO-2opt,9,82,652.0
GA,9,990,1214.0
GA-2opt,9,49,675.0
ACO,10,109,713.0
ACO-2opt,10,66,651.0
GA,10,975,1233.0
GA-2opt,10,44,662.0
